clear_fraction,lat_cloud,lon_cloud,.geo_cloud,lat_round,lon_round,lat_loss,lon_loss,loss_fraction,.geo_loss,quadrant
0.16708861,-15.105171502469757,-68.69866135304041,,-15.105,-68.699,-15.105171502469757,-68.69866135304041,0.0,,poor_visibility__no_loss
0.2835443,-15.105171502469757,-68.68967820019921,,-15.105,-68.69,-15.105171502469757,-68.68967820019921,0.0,,poor_visibility__no_loss
0.21518987,-15.105171502469757,-68.68069504735801,,-15.105,-68.681,-15.105171502469757,-68.68069504735801,0.0,,poor_visibility__no_loss
0.07594936,-15.105171502469757,-68.66272874167562,,-15.105,-68.663,-15.105171502469757,-68.66272874167562,0.0,,poor_visibility__no_loss
0.14683545,-15.105171502469757,-68.65374558883444,,-15.105,-68.654,-15.105171502469757,-68.65374558883444,0.0,,poor_visibility__no_loss
0.1443038,-15.105171502469757,-68.64476243599324,,-15.105,-68.645,-15.105171502469757,-68.64476243599324,0.18518518,,poor_visibility__has_loss
0.24303797,-15.105171502469757,-68.63577928315205,,-15.105,-68.636,-15.105171502469757,-68.63577928315205,0.0,,poor_visibility__no_loss
0.2734177,-15.105171502469757,-68.61781297746965,,-15.105,-68.618,-15.105171502469757,-68.61781297746965,0.0,,poor_visibility__no_loss
0.25316456,-15.105171502469757,-68.60882982462846,,-15.105,-68.609,-15.105171502469757,-68.60882982462846,0.0,,poor_visibility__no_loss
0.17721519,-15.105171502469757,-68.59086351894607,,-15.105,-68.591,-15.105171502469757,-68.59086351894607,0.0,,poor_visibility__no_loss
0.17468354,-15.105171502469757,-68.58188036610487,,-15.105,-68.582,-15.105171502469757,-68.58188036610487,0.0,,poor_visibility__no_loss
0.15443037,-15.105171502469757,-68.57289721326367,,-15.105,-68.573,-15.105171502469757,-68.57289721326367,0.0,,poor_visibility__no_loss
0.15949367,-15.105171502469757,-68.56391406042248,,-15.105,-68.564,-15.105171502469757,-68.56391406042248,0.0,,poor_visibility__no_loss
0.13164558,-15.105171502469757,-68.55493090758128,,-15.105,-68.555,-15.105171502469757,-68.55493090758128,1.0,,poor_visibility__has_loss
0.13670886,-15.105171502469757,-68.5459477547401,,-15.105,-68.546,-15.105171502469757,-68.5459477547401,0.26086956,,poor_visibility__has_loss
0.2278481,-15.105171502469757,-68.49204883769292,,-15.105,-68.492,-15.105171502469757,-68.49204883769292,0.0,,poor_visibility__no_loss
0.23544304,-15.105171502469757,-68.48306568485172,,-15.105,-68.483,-15.105171502469757,-68.48306568485172,0.0,,poor_visibility__no_loss
0.29620254,-15.105171502469757,-68.46509937916933,,-15.105,-68.465,-15.105171502469757,-68.46509937916933,1.0,,poor_visibility__has_loss
0.34936708,-15.105171502469757,-68.45611622632813,,-15.105,-68.456,-15.105171502469757,-68.45611622632813,0.0,,good_visibility__no_loss
0.35443038,-15.105171502469757,-68.41120046212217,,-15.105,-68.411,-15.105171502469757,-68.41120046212217,0.0,,good_visibility__no_loss
0.31898734,-15.105171502469757,-68.39323415643977,,-15.105,-68.393,-15.105171502469757,-68.39323415643977,0.94736844,,poor_visibility__has_loss
0.38227847,-15.105171502469757,-68.38425100359858,,-15.105,-68.384,-15.105171502469757,-68.38425100359858,0.9767442,,good_visibility__has_loss
