lat,lon,loss_fraction,.geo
-14.638047554727605,-68.20458794677467,0.0,
-14.638047554727605,-68.19560479393348,0.7386364,
-14.638047554727605,-68.18662164109229,0.01875,
-14.638047554727605,-68.1686553354099,1.0,
-14.638047554727605,-68.1506890297275,0.0,
-14.638047554727605,-68.11475641836272,0.0,
-14.638047554727605,-68.10577326552152,0.0,
-14.638047554727605,-68.09679011268032,0.0,
-14.638047554727605,-68.08780695983914,0.0,
-14.638047554727605,-68.07882380699795,0.0,
-14.638047554727605,-68.06984065415675,0.0,
-14.638047554727605,-68.06085750131555,0.0,
-14.638047554727605,-68.05187434847436,0.0,
-14.638047554727605,-68.04289119563316,0.0,
-14.638047554727605,-68.03390804279196,0.34042552,
-14.638047554727605,-68.02492488995077,0.13513513,
-14.638047554727605,-68.01594173710957,0.0,
-14.638047554727605,-68.00695858426838,0.0,
-14.638047554727605,-67.99797543142718,0.5,
-14.638047554727605,-67.98899227858598,0.0,
-14.638047554727605,-67.98000912574479,0.0,
-14.638047554727605,-67.9710259729036,0.9509434,
-14.638047554727605,-67.94407651438001,0.0,
-14.638047554727605,-67.93509336153882,0.0,
-14.638047554727605,-67.91712705585643,1.0,
-14.638047554727605,-67.89017759733284,0.5555556,
-14.638047554727605,-67.88119444449164,0.55,
-14.638047554727605,-67.87221129165044,0.92007107,
-14.638047554727605,-67.86322813880925,0.0,
-14.638047554727605,-67.84526183312687,0.0,
-14.638047554727605,-67.83627868028567,0.0,
-14.638047554727605,-67.82729552744448,0.11764706,
-14.638047554727605,-67.80932922176208,0.0,
-14.638047554727605,-67.80034606892089,0.3236715,
-14.638047554727605,-67.79136291607969,0.0,
-14.638047554727605,-67.7733966103973,0.9807692,
-14.638047554727605,-67.7644134575561,0.45841393,
-14.638047554727605,-67.7554303047149,0.3548387,
-14.6470307075688,-68.3213689337102,0.0,
-14.6470307075688,-68.31238578086902,0.22222222,
-14.6470307075688,-68.30340262802783,0.084745765,
-14.6470307075688,-68.29441947518663,0.33734939,
-14.6470307075688,-68.28543632234543,0.8,
-14.6470307075688,-68.27645316950424,0.7777778,
-14.6470307075688,-68.26747001666304,0.0,
-14.6470307075688,-68.25848686382184,0.0,
-14.6470307075688,-68.23153740529825,0.0,
-14.6470307075688,-68.22255425245706,0.0,
-14.6470307075688,-68.21357109961586,0.0,
-14.6470307075688,-68.20458794677467,0.0,
-14.6470307075688,-68.19560479393348,0.102564104,
-14.6470307075688,-68.1686553354099,0.0,
-14.6470307075688,-68.1596721825687,0.33333334,
-14.6470307075688,-68.12373957120391,0.0,
-14.6470307075688,-68.11475641836272,0.21428572,
-14.6470307075688,-68.09679011268032,0.0,
-14.6470307075688,-68.08780695983914,0.0,
-14.6470307075688,-68.07882380699795,0.0,
-14.6470307075688,-68.06984065415675,0.0,
-14.6470307075688,-68.04289119563316,0.0,
-14.6470307075688,-68.02492488995077,0.0,
-14.6470307075688,-68.01594173710957,0.078947365,
-14.6470307075688,-68.00695858426838,0.53846157,
-14.6470307075688,-67.99797543142718,0.0,
-14.6470307075688,-67.98899227858598,0.0,
-14.6470307075688,-67.98000912574479,0.0,
-14.6470307075688,-67.9710259729036,0.967233,
-14.6470307075688,-67.96204282006241,0.92250925,
-14.6470307075688,-67.93509336153882,1.0,
-14.6470307075688,-67.92611020869762,0.0,
-14.6470307075688,-67.91712705585643,0.0,
-14.6470307075688,-67.88119444449164,0.6785714,
-14.6470307075688,-67.87221129165044,0.8695652,
-14.6470307075688,-67.86322813880925,0.90423864,
-14.6470307075688,-67.85424498596807,0.27906978,
-14.6470307075688,-67.82729552744448,0.0,
-14.6470307075688,-67.80034606892089,0.6315789,
-14.6470307075688,-67.79136291607969,0.029411765,
-14.6470307075688,-67.7823797632385,0.42162162,
-14.6470307075688,-67.7733966103973,0.45812806,
