clear_fraction,lat,lon,.geo
0.2987342,-15.150087266675731,-68.75256027008759,
0.19493671,-15.150087266675731,-68.74357711724639,
0.17974684,-15.150087266675731,-68.73459396440519,
0.18734178,-15.150087266675731,-68.725610811564,
0.10886076,-15.150087266675731,-68.7166276587228,
0.17721519,-15.150087266675731,-68.7076445058816,
0.2658228,-15.150087266675731,-68.69866135304041,
0.16455697,-15.150087266675731,-68.68967820019921,
0.23797469,-15.150087266675731,-68.68069504735801,
0.15949367,-15.150087266675731,-68.67171189451682,
0.12911393,-15.150087266675731,-68.66272874167562,
0.121518984,-15.150087266675731,-68.65374558883444,
0.14683545,-15.150087266675731,-68.64476243599324,
0.09113924,-15.150087266675731,-68.63577928315205,
0.10632911,-15.150087266675731,-68.62679613031085,
0.118987344,-15.150087266675731,-68.61781297746965,
0.1493671,-15.150087266675731,-68.60882982462846,
0.18481013,-15.150087266675731,-68.59984667178726,
0.12658228,-15.150087266675731,-68.59086351894607,
0.1164557,-15.150087266675731,-68.58188036610487,
0.12405063,-15.150087266675731,-68.57289721326367,
0.32658228,-15.150087266675731,-68.56391406042248,
0.34683543,-15.150087266675731,-68.55493090758128,
0.3721519,-15.150087266675731,-68.5459477547401,
0.3164557,-15.150087266675731,-68.5369646018989,
0.36962026,-15.150087266675731,-68.5279814490577,
0.35443038,-15.150087266675731,-68.51899829621651,
0.34683543,-15.150087266675731,-68.51001514337531,
0.34936708,-15.150087266675731,-68.50103199053412,
0.38987342,-15.150087266675731,-68.49204883769292,
0.4,-15.150087266675731,-68.48306568485172,
0.37974682,-15.150087266675731,-68.47408253201053,
0.3113924,-15.150087266675731,-68.46509937916933,
0.2556962,-15.150087266675731,-68.45611622632813,
0.29620254,-15.150087266675731,-68.44713307348694,
0.30126584,-15.150087266675731,-68.43814992064574,
0.30886075,-15.150087266675731,-68.42916676780456,
0.30126584,-15.150087266675731,-68.42018361496336,
0.3164557,-15.150087266675731,-68.41120046212217,
0.321519,-15.150087266675731,-68.40221730928097,
0.278481,-15.150087266675731,-68.39323415643977,
0.2607595,-15.150087266675731,-68.38425100359858,
0.29113925,-15.150087266675731,-68.37526785075738,
0.35189873,-15.150087266675731,-68.36628469791619,
0.35696203,-15.150087266675731,-68.35730154507499,
0.4227848,-15.150087266675731,-68.3483183922338,
0.40759495,-15.150087266675731,-68.3393352393926,
0.43544304,-15.150087266675731,-68.3303520865514,
0.3443038,-15.159070419516926,-68.8962907155467,
0.39240506,-15.159070419516926,-68.88730756270552,
0.49873418,-15.159070419516926,-68.87832440986432,
0.51898736,-15.159070419516926,-68.86934125702312,
0.4886076,-15.159070419516926,-68.86035810418193,
0.42531645,-15.159070419516926,-68.85137495134073,
0.4379747,-15.159070419516926,-68.84239179849953,
0.4177215,-15.159070419516926,-68.83340864565834,
0.25316456,-15.159070419516926,-68.82442549281714,
0.32911393,-15.159070419516926,-68.81544233997595,
0.2734177,-15.159070419516926,-68.80645918713475,
0.32405064,-15.159070419516926,-68.79747603429355,
0.24050634,-15.159070419516926,-68.78849288145236,
0.21518987,-15.159070419516926,-68.77950972861116,
0.26835442,-15.159070419516926,-68.77052657576998,
0.30886075,-15.159070419516926,-68.76154342292878,
0.2987342,-15.159070419516926,-68.75256027008759,
0.21265823,-15.159070419516926,-68.74357711724639,
0.15443037,-15.159070419516926,-68.73459396440519,
0.24556962,-15.159070419516926,-68.725610811564,
0.19746836,-15.159070419516926,-68.7166276587228,
0.23544304,-15.159070419516926,-68.7076445058816,
0.30126584,-15.159070419516926,-68.69866135304041,
0.27594936,-15.159070419516926,-68.68967820019921,
0.23544304,-15.159070419516926,-68.68069504735801,
0.16962026,-15.159070419516926,-68.67171189451682,
0.118987344,-15.159070419516926,-68.66272874167562,
0.11392405,-15.159070419516926,-68.65374558883444,
0.15443037,-15.159070419516926,-68.64476243599324,
0.12911393,-15.159070419516926,-68.63577928315205,
0.12405063,-15.159070419516926,-68.62679613031085,
0.18481013,-15.159070419516926,-68.61781297746965,
0.17974684,-15.159070419516926,-68.60882982462846,
0.20759493,-15.159070419516926,-68.59984667178726,
0.13164558,-15.159070419516926,-68.59086351894607,
0.1392405,-15.159070419516926,-68.58188036610487,
0.16455697,-15.159070419516926,-68.57289721326367,
0.22025317,-15.159070419516926,-68.56391406042248,
0.30126584,-15.159070419516926,-68.55493090758128,
0.3949367,-15.159070419516926,-68.5459477547401,
0.39240506,-15.159070419516926,-68.5369646018989,
0.38734177,-15.159070419516926,-68.5279814490577,
0.4101266,-15.159070419516926,-68.51899829621651,
0.39746836,-15.159070419516926,-68.51001514337531,
0.39240506,-15.159070419516926,-68.50103199053412,
0.3949367,-15.159070419516926,-68.49204883769292,
0.3949367,-15.159070419516926,-68.48306568485172,
0.38734177,-15.159070419516926,-68.47408253201053,
0.31392404,-15.159070419516926,-68.46509937916933,
0.23037975,-15.159070419516926,-68.45611622632813,
0.21265823,-15.159070419516926,-68.44713307348694,
0.278481,-15.159070419516926,-68.43814992064574,
0.30379745,-15.159070419516926,-68.42916676780456,
0.31392404,-15.159070419516926,-68.42018361496336,
0.31898734,-15.159070419516926,-68.41120046212217,
0.32658228,-15.159070419516926,-68.40221730928097,
0.30379745,-15.159070419516926,-68.39323415643977,
0.22531645,-15.159070419516926,-68.38425100359858,
0.2658228,-15.159070419516926,-68.37526785075738,
0.35443038,-15.159070419516926,-68.36628469791619,
0.3949367,-15.159070419516926,-68.35730154507499,
0.40253165,-15.159070419516926,-68.3483183922338,
0.40759495,-15.159070419516926,-68.3393352393926,
0.4101266,-15.159070419516926,-68.3303520865514,
0.3113924,-15.16805357235812,-68.8962907155467,
0.29620254,-15.16805357235812,-68.88730756270552,
0.36708862,-15.16805357235812,-68.87832440986432,
0.43544304,-15.16805357235812,-68.86934125702312,
0.47594938,-15.16805357235812,-68.86035810418193,
0.47848102,-15.16805357235812,-68.85137495134073,
0.49873418,-15.16805357235812,-68.84239179849953,
0.46329114,-15.16805357235812,-68.83340864565834,
0.43544304,-15.16805357235812,-68.82442549281714,
